ano,municipio,populacao,homicidio,gastos_educacao,renda_setor_formal,gastos_seguranca_publica
2005,143,20482,23.07,207.55,786.24,0.06
2006,143,20392,9.17,243.19,811.51,0.0
2007,143,21490,13.67,258.28,1206.26,0.0
2008,143,22278,27.18,261.98,1040.75,0.0
2009,143,22392,13.51,290.77,870.32,1.62
2010,143,22343,22.38,343.77,1083.8,2.1
2011,143,22448,4.43,394.1,930.69,2.21
2012,143,22549,17.52,416.8,1050.56,1.22
2013,143,23089,17.9,458.61,1315.06,2.18
2014,143,23197,4.48,439.55,1277.95,2.89
2015,143,23322,64.32,497.01,1437.44,2.45
2016,143,23434,46.94,473.68,1502.7,3.17
2017,143,23544,33.98,505.53,1460.71,0.87
2002,144,3482,0.0,150.69,519.12,0.0
2003,144,3483,29.22,181.16,570.83,0.0
2004,144,3487,0.0,1297.49,550.31,0.0
2005,144,3489,0.0,289.98,714.92,0.0
2006,144,3491,0.0,345.98,671.05,0.0
2007,144,3460,0.0,402.04,744.58,0.0
2008,144,3549,0.0,417.23,746.35,0.0
2009,144,3553,0.0,505.01,865.28,0.0
2010,144,3288,0.0,489.57,917.81,0.0
2011,144,3273,0.0,559.56,980.0,0.0
2012,144,3260,0.0,598.79,1087.83,0.0
2013,144,3305,0.0,745.94,1220.87,0.0
2014,144,3290,0.0,663.08,1224.01,3.64
2015,144,3284,0.0,680.01,1425.67,4.86
2016,144,3275,0.0,705.6,1557.22,5.04
2017,144,3266,30.62,818.38,1425.27,4.81
2002,145,21525,0.0,148.76,687.09,0.0
2003,145,21742,0.0,157.37,738.65,0.0
2004,145,22198,0.0,138.64,696.99,2.83
2005,145,22450,0.0,198.42,736.36,0.0
2006,145,22701,4.46,246.12,771.1,0.0
2007,145,22248,4.41,285.72,851.15,0.0
2008,145,23097,0.0,344.96,859.79,0.0
2009,145,23286,0.0,354.45,1226.2,0.0
2010,145,23341,4.28,380.66,910.42,0.0
2011,145,23522,0.0,458.9,971.5,0.04
2012,145,23692,4.16,483.7,1123.53,0.0
2013,145,24393,4.28,502.72,1271.18,0.0
2014,145,24597,4.28,564.86,1326.36,0.01
2015,145,24780,12.11,610.84,1437.03,0.0
2016,145,24953,0.0,608.1,1535.15,1.33
2017,145,25123,3.98,643.65,1659.95,0.0
2002,146,32110,6.25,77.67,650.46,1.98
2003,146,32198,15.6,79.63,678.85,3.06
2004,146,32383,9.35,147.03,678.02,5.25
2005,146,32485,3.11,112.18,717.15,3.82
2006,146,32586,6.22,116.85,747.77,10.77
2007,146,32111,6.21,136.94,763.34,4.99
2008,146,33091,3.1,173.07,778.04,1.98
2009,146,33182,6.2,204.8,814.15,3.08
2010,146,32321,21.67,241.95,844.17,2.66
2011,146,32325,3.08,225.93,929.48,2.37
2012,146,32353,9.16,288.56,1024.49,2.07
2013,146,32997,21.67,267.57,1113.33,2.85
2014,146,33027,40.25,284.33,1221.3,3.6
2015,146,33110,12.08,320.3,1363.09,3.88
2016,146,33166,33.17,338.24,1432.99,3.84
2017,146,33224,12.04,350.35,1510.08,3.22
2002,147,79168,11.35,80.19,665.71,1.2
2003,147,79808,8.75,53.96,681.32,2.1
2004,147,81151,11.14,17.56,688.45,0.08
2005,147,81895,12.27,66.94,763.0,1.58
2006,147,82632,18.24,89.62,811.46,1.58
2007,147,81117,13.25,102.73,836.84,2.41
2008,147,84825,27.46,116.32,859.53,2.38
2009,147,85472,28.41,153.96,920.36,4.45
2010,147,85322,18.77,187.71,953.64,10.08
2011,147,85811,19.72,215.09,1011.92,8.27
2012,147,86364,14.86,231.06,1087.26,8.16
2013,147,88615,12.9,286.82,1195.1,5.91
2014,147,89210,15.25,326.14,1296.23,9.6
2015,147,89824,11.13,307.28,1437.52,13.33
2016,147,90397,12.17,351.45,1542.67,8.78
2017,147,90924,16.5,370.03,1644.71,13.13
2002,148,9129,0.0,189.2,431.04,0.0
2003,148,9205,0.0,130.91,481.87,0.12
2004,148,9363,11.05,110.89,533.59,0.73
2005,148,9451,11.03,158.28,572.74,0.55
2006,148,9538,11.01,159.61,625.09,1.27
2007,148,10145,32.97,190.13,658.55,0.88
2008,148,10623,10.97,244.23,711.36,0.32
2009,148,10783,0.0,273.15,723.79,0.92
2010,148,9158,10.93,297.88,727.84,1.5
2011,148,9162,10.86,334.81,822.62,1.08
2012,148,9176,21.53,556.77,888.02,2.21
2013,148,9364,54.66,357.33,1076.26,1.38
2014,148,9378,32.79,546.98,1340.97,1.37
2015,148,9407,21.26,530.21,1201.25,1.63
2016,148,9427,21.21,593.77,1293.08,1.77
2017,148,9449,31.75,546.84,1383.38,3.44
2002,149,5874,0.0,151.78,494.4,1.03
2003,149,5903,0.0,164.03,553.9,0.48
2004,149,5965,0.0,496.95,577.62,5.73
2005,149,6000,0.0,199.46,535.43,1.66
2006,149,6034,0.0,222.11,585.39,4.53
2007,149,6075,0.0,230.37,644.51,6.49
2008,149,6247,16.13,289.65,667.97,6.56
2009,149,6286,16.0,309.99,710.6,7.68
2010,149,6302,15.88,334.19,743.8,7.36
2011,149,6335,0.0,408.95,793.41,5.66
2012,149,6372,0.0,778.55,925.67,6.31
2013,149,6533,15.88,524.49,1034.44,3.6
2014,149,6572,0.0,527.6,1177.71,6.12
2015,149,6614,0.0,625.2,1313.63,8.12
2016,149,6651,0.0,604.15,1408.55,9.05
2017,149,6690,0.0,653.3,1492.33,3.89
2002,150,21722,9.26,131.36,577.66,1.61
2003,150,21596,28.02,147.8,616.07,1.32
2004,150,21331,28.27,49.56,609.75,0.0
2005,150,21184,14.27,158.39,652.31,1.8
2006,150,21038,19.2,197.23,736.58,1.53
2007,150,20678,14.53,219.19,778.87,1.86
2008,150,21302,48.89,257.39,852.28,1.85
2009,150,21212,34.55,249.85,818.99,1.3
2010,150,20087,19.93,298.22,968.56,2.35
2011,150,19921,14.99,387.61,1038.1,2.58
2012,150,19779,14.99,385.03,1105.98,4.22
2013,150,19991,19.93,439.75,1121.66,3.48
2014,150,19840,29.9,441.17,1202.99,1.98
2015,150,19760,25.3,498.04,1322.14,2.12
2016,150,19652,30.53,567.84,1444.87,2.78
2017,150,19553,10.23,579.68,1558.88,2.01
2002,151,2247,0.0,468.05,670.13,0.0
2003,151,2247,0.0,396.3,700.37,0.0
2004,151,2248,0.0,841.88,723.63,14.04
2005,151,2249,42.62,459.55,817.21,0.0
2006,151,2249,42.26,499.24,956.94,8.43
2007,151,2550,0.0,556.82,963.32,8.54
2008,151,2671,41.56,620.29,1062.85,10.05
2009,151,2712,0.0,598.76,1135.23,10.97
2010,151,2460,0.0,643.08,1085.55,11.13
2011,151,2461,0.0,704.08,1055.32,6.95
2012,151,2477,39.87,923.77,1189.25,5.03
2013,151,2540,0.0,907.61,1312.07,3.39
2014,151,2556,0.0,823.9,1464.81,3.78
2015,151,2573,38.87,880.44,1394.55,5.19
2016,151,2588,38.64,1042.46,1499.92,5.66
2017,151,2603,0.0,897.33,1485.33,7.31
2002,152,11878,8.58,138.2,492.4,2.36
2003,152,12007,0.0,126.8,507.8,2.99
2004,152,12278,0.0,132.12,483.32,0.0
2005,152,12428,0.0,204.61,573.26,3.11
2006,152,12576,0.0,260.33,617.79,3.49
2007,152,11656,8.49,280.69,653.7,4.18
2008,152,12028,0.0,340.12,649.22,5.03
2009,152,12061,16.93,455.31,701.95,4.68
2010,152,11836,8.45,404.98,737.21,3.79
2011,152,11854,8.4,482.03,798.48,4.66
2012,152,11872,8.32,533.61,909.9,3.92
2013,152,12117,0.0,535.56,980.45,4.39
2014,152,12135,0.0,662.38,1032.97,4.68
2015,152,12172,8.22,615.69,1114.03,3.95
2016,152,12198,0.0,636.41,1205.55,6.13
2017,152,12227,0.0,676.85,1290.08,4.84
2002,153,10436,0.0,118.92,628.74,0.0
2003,153,10452,9.47,122.82,714.46,0.0
2004,153,10487,0.0,144.84,672.28,1.55
2005,153,10506,0.0,180.57,734.96,0.0
2006,153,10525,0.0,215.53,800.63,0.0
2007,153,10936,18.56,235.04,800.48,0.0
2008,153,11358,9.24,229.73,824.25,0.0
2009,153,11446,0.0,257.59,877.68,0.0
2010,153,10927,0.0,296.43,896.45,2.78
2011,153,10967,9.07,362.54,949.99,4.47
2012,153,11007,8.97,353.05,1081.24,3.39
2013,153,11259,18.3,375.59,1210.61,2.43
2014,153,11301,27.45,430.35,1413.18,2.26
2015,153,11354,17.61,356.61,1432.34,1.83
2016,153,11399,0.0,346.28,1574.97,2.21
2017,153,11444,17.48,394.2,1698.16,2.27
2002,154,12809,0.0,140.34,429.39,0.12
2003,154,12931,7.75,116.13,475.46,0.37
2004,154,13188,0.0,178.11,472.49,4.27
2005,154,13331,0.0,134.93,544.58,1.59
2006,154,13472,0.0,155.45,557.29,2.48
2007,154,13657,0.0,206.33,603.05,3.94
2008,154,14236,0.0,260.53,621.16,6.19
2009,154,14397,0.0,334.45,649.91,4.08
2010,154,13752,0.0,324.25,717.04,0.0
2011,154,13842,14.38,326.73,773.0,0.0
2012,154,13932,0.0,421.19,921.2,0.0
2013,154,14295,0.0,379.95,1014.28,0.0
2014,154,14392,0.0,417.28,1102.67,0.0
2015,154,14491,6.9,448.95,1248.95,0.0
2016,154,14584,6.86,431.8,1364.99,0.0
2017,154,14674,0.0,522.92,1481.06,0.0
2002,155,17734,11.3,114.2,716.44,2.48
2003,155,18002,0.0,109.66,723.51,2.91
2004,155,18564,5.48,169.08,765.74,0.49
2005,155,18875,5.39,145.97,790.87,3.82
2006,155,19184,5.31,177.87,863.17,4.32
2007,155,18947,15.69,253.79,834.13,4.34
2008,155,19779,10.3,253.84,869.05,5.21
2009,155,20031,5.07,319.65,934.44,3.38
2010,155,20018,5.0,331.24,1023.98,3.63
2011,155,20231,0.0,364.67,1037.16,3.89
2012,155,20444,24.15,350.6,1174.84,3.7
2013,155,21065,9.99,356.08,1317.15,4.17
2014,155,21295,14.99,469.66,1503.55,0.0
2015,155,21506,9.3,474.25,1606.19,0.0
2016,155,21714,9.21,437.47,1787.05,0.0
2017,155,21915,4.56,520.24,1861.12,0.0
2002,156,29902,10.16,108.64,655.21,0.76
2003,156,30108,10.15,86.5,731.8,0.48
2004,156,30538,13.52,116.37,703.52,0.0
2005,156,30777,20.25,120.44,776.23,0.76
2006,156,31014,20.24,142.08,851.35,1.19
2007,156,29930,13.48,174.83,863.98,0.61
2008,156,31843,10.1,183.87,878.47,1.54
2009,156,32059,16.83,205.91,913.91,2.06
2010,156,29752,0.0,243.06,940.05,2.71
2011,156,29756,16.72,240.09,1124.76,3.38
2012,156,29777,16.58,330.88,1096.07,4.28
2013,156,30363,16.82,334.96,1286.69,4.19
2014,156,30384,10.09,394.78,1439.75,1.43
2015,156,30457,16.42,440.01,1589.18,1.11
2016,156,30504,19.67,485.36,1742.86,0.79
2017,156,30553,9.82,538.52,1880.05,1.43
2002,157,20208,5.03,218.56,585.45,0.0
2003,157,20429,0.0,152.87,608.46,0.0
2004,157,20893,4.99,77.59,588.63,0.8
2005,157,21149,4.98,223.17,658.18,0.0
2006,157,21404,4.96,255.43,700.12,0.0
2007,157,19482,0.0,252.24,750.51,0.0
2008,157,20055,4.93,270.18,754.17,0.0
2009,157,20070,4.91,317.02,809.63,0.0
2010,157,20426,0.0,342.85,826.78,0.0
2011,157,20479,4.86,439.05,913.41,0.0
2012,157,20531,14.43,458.85,1039.92,1.91
2013,157,20977,4.9,441.97,1135.77,1.83
2014,157,21032,0.0,528.54,1212.06,2.14
2015,157,21113,4.74,515.75,1327.01,1.33
2016,157,21179,4.72,494.6,1441.0,0.0
2017,157,21244,4.71,503.13,1512.79,1.01
2002,158,14498,0.0,94.62,547.09,0.62
2003,158,14568,0.0,86.21,639.04,0.71
2004,158,14714,0.0,270.03,658.94,0.0
2005,158,14795,0.0,117.21,661.96,1.54
2006,158,14875,0.0,135.66,894.98,2.34
2007,158,15734,6.17,137.02,769.55,1.54
2008,158,16425,0.0,222.4,784.53,1.39
2009,158,16624,5.97,215.24,828.0,0.98
2010,158,17050,5.87,239.12,862.43,1.2
2011,158,17255,0.0,288.09,937.63,1.31
2012,158,17456,5.66,308.52,1039.72,0.84
2013,158,18009,11.73,383.8,1171.33,1.71
2014,158,18227,5.87,470.92,1292.32,2.24
2015,158,18423,0.0,457.46,1402.79,1.85
2016,158,18617,10.74,461.39,1521.2,1.95
2017,158,18805,10.64,516.72,1617.76,3.17
2002,159,8722,11.08,312.2,830.57,0.0
2003,159,8634,0.0,410.72,807.27,0.0
2004,159,8451,10.94,103.53,771.96,3.02
2005,159,8349,21.75,553.68,914.27,0.0
2006,159,8248,10.81,576.94,991.17,15.85
2007,159,8859,0.0,719.45,917.37,0.0
2008,159,9129,0.0,598.75,1056.07,0.0
2009,159,9143,0.0,630.49,1170.92,0.0
2010,159,9467,10.56,659.81,1197.81,0.0
2011,159,9514,10.46,725.41,2265.71,0.0
2012,159,9556,10.33,719.34,1389.07,0.0
2013,159,9784,10.56,794.64,1602.11,0.0
2014,159,9828,0.0,1038.18,1739.71,0.0
2015,159,9880,10.12,972.97,1786.31,0.0
2016,159,9926,10.07,908.67,1832.06,0.0
2017,159,9971,0.0,957.36,2175.09,0.0
2002,160,3752,51.26,279.22,482.84,3.55
2003,160,3690,0.0,184.56,498.09,3.52
2004,160,3558,0.0,230.16,662.47,2.14
2005,160,3485,0.0,295.49,607.66,4.7
2006,160,3413,0.0,303.79,683.24,5.0
2007,160,4015,0.0,292.69,688.98,8.55
2008,160,4158,0.0,372.95,733.29,5.95
2009,160,4182,0.0,339.68,790.02,7.08
2010,160,3952,0.0,372.52,910.64,7.62
2011,160,3953,0.0,421.16,909.21,5.47
2012,160,3958,0.0,456.44,1099.68,8.25
2013,160,4037,0.0,488.72,1160.77,8.11
2014,160,4042,0.0,664.54,1240.51,5.83
2015,160,4053,0.0,606.85,1443.64,7.45
2016,160,4061,0.0,587.37,1481.27,10.65
2017,160,4069,0.0,625.36,1653.88,13.59
2002,161,3197,0.0,426.34,540.9,0.0
2003,161,3247,0.0,327.29,588.5,0.2
2004,161,3353,0.0,251.7,499.23,0.0
2005,161,3411,0.0,361.31,595.85,4.99
2006,161,3469,0.0,375.01,700.38,0.0
2007,161,3230,0.0,530.16,723.58,0.0
2008,161,3355,0.0,529.56,710.67,0.0
2009,161,3380,0.0,606.24,797.47,0.0
2010,161,3350,0.0,648.85,800.04,0.0
2011,161,3360,0.0,830.9,898.09,0.0
2012,161,3380,0.0,924.05,1027.06,0.0
2013,161,3464,0.0,1041.79,1111.74,0.0
2014,161,3484,0.0,865.87,1240.3,0.0
2015,161,3507,28.52,1018.36,1379.19,0.0
2016,161,3526,0.0,970.81,1603.17,0.0
2017,161,3545,0.0,1032.28,1671.15,0.0
2002,162,4744,0.0,266.25,636.91,0.0
2003,162,4749,0.0,179.9,666.98,0.0
2004,162,4760,21.43,178.73,673.03,0.0
2005,162,4766,0.0,211.4,711.58,0.0
2006,162,4772,0.0,242.59,770.41,0.0
2007,162,4611,0.0,251.66,809.56,0.0
2008,162,4739,0.0,280.93,844.79,0.0
2009,162,4735,0.0,342.15,935.16,0.0
2010,162,4555,0.0,409.63,884.4,0.0
2011,162,4542,21.91,403.19,950.92,0.0
2012,162,4530,0.0,416.46,1147.87,0.0
2013,162,4600,0.0,480.41,1169.16,0.0
2014,162,4587,21.95,438.11,1284.0,0.0
2015,162,4584,0.0,587.36,1439.0,0.0
2016,162,4577,21.85,500.27,1594.24,0.0
2017,162,4571,0.0,605.8,1660.42,0.0
2002,163,2300,0.0,274.93,441.14,0.0
2003,163,2317,0.0,327.33,438.54,0.0
2004,163,2352,0.0,611.04,428.39,4.18
2005,163,2371,0.0,450.86,476.49,0.0
2006,163,2390,0.0,510.54,596.78,0.0
2007,163,2100,0.0,584.38,733.11,0.0
2008,163,2143,0.0,547.05,727.84,0.0
2009,163,2129,0.0,671.35,823.5,0.0
2010,163,2242,0.0,701.73,833.29,0.0
2011,163,2242,0.0,746.61,795.97,0.0
2012,163,2241,0.0,766.95,949.94,0.0
2013,163,2282,0.0,1063.2,1044.7,0.0
2014,163,2281,0.0,889.69,1104.82,0.0
2015,163,2284,0.0,907.86,1371.34,0.0
2016,163,2285,0.0,1021.37,1542.7,0.0
2017,163,2286,0.0,1053.65,1652.85,0.0
2002,164,2621,37.47,320.1,892.1,7.62
2003,164,2620,37.14,324.88,899.16,4.97
2004,164,2618,0.0,830.17,783.25,4.95
2005,164,2618,0.0,434.62,783.51,0.49
2006,164,2617,36.19,455.69,820.69,3.62
2007,164,2799,35.89,505.73,863.04,6.27
2008,164,2911,0.0,538.41,808.66,7.46
2009,164,2938,0.0,571.19,929.54,8.47
2010,164,2857,0.0,597.15,896.99,11.21
2011,164,2875,0.0,601.25,1007.99,13.39
2012,164,2893,0.0,777.85,1023.57,12.64
2013,164,2966,0.0,792.22,1076.18,10.3
2014,164,2985,70.0,982.13,1236.02,7.74
2015,164,3005,0.0,1058.23,1285.94,9.76
2016,164,3023,0.0,1177.12,1334.16,11.87
2017,164,3040,0.0,1153.1,1467.57,14.68
2002,165,17585,5.78,109.77,670.88,1.54
2003,165,17728,5.77,120.39,720.99,1.93
2004,165,18027,5.76,408.94,690.46,0.0
2005,165,18193,0.0,155.76,767.34,1.5
2006,165,18357,0.0,177.07,828.98,1.85
2007,165,17143,0.0,186.86,845.51,2.84
2008,165,17572,17.25,230.38,846.77,1.25
2009,165,17587,5.75,242.13,907.11,1.64
2010,165,17428,0.0,296.33,940.58,3.68
2011,165,17422,5.71,299.35,999.07,3.51
2012,165,17433,5.67,371.14,1098.52,2.88
2013,165,17773,5.74,382.15,1203.14,2.5
2014,165,17783,5.74,431.82,1310.14,2.57
2015,165,17824,0.0,459.05,1482.9,3.95
2016,165,17849,11.2,450.78,1610.4,2.55
2017,165,17877,11.19,516.15,1725.93,5.15
2002,166,65209,10.75,127.91,898.06,0.0
2003,166,65780,13.7,94.41,871.98,0.0
2004,166,66977,3.02,17.77,913.54,0.0
2005,166,67640,10.47,127.57,908.33,0.0
2006,166,68298,8.9,142.4,959.53,0.01
2007,166,67447,2.94,148.25,988.68,0.0
2008,166,69955,7.29,170.3,976.83,0.0
2009,166,70507,5.78,184.58,1040.95,0.0
2010,166,69810,4.3,200.03,1059.68,0.0
2011,166,70200,1.42,225.08,1101.38,0.0
2012,166,70630,4.19,262.71,1204.56,0.0
2013,166,72446,5.73,287.01,1282.8,0.0
2014,166,72907,8.6,377.49,1485.3,0.53
2015,166,73389,6.81,296.55,1620.46,0.0
2016,166,73837,8.13,338.06,1741.9,0.0
2017,166,74276,8.08,371.21,1845.46,0.0
2002,167,4330,0.0,229.02,712.14,0.0
2003,167,4372,0.0,277.0,711.23,0.0
2004,167,4459,0.0,108.04,771.28,0.0
2005,167,4507,0.0,323.28,795.91,0.0
2006,167,4555,0.0,337.16,790.81,3.77
2007,167,4561,21.46,408.7,1006.3,2.83
2008,167,4747,21.18,595.07,1041.7,2.99
2009,167,4795,0.0,533.92,995.43,2.93
2010,167,4839,0.0,416.89,1168.38,6.59
2011,167,4892,0.0,471.24,1272.82,5.98
2012,167,4938,20.0,440.29,1340.58,5.02
2013,167,5081,20.64,435.01,1508.9,4.27
2014,167,5129,20.64,1460.46,1690.26,3.72
2015,167,5175,0.0,1182.05,1635.49,17.11
2016,167,5219,19.16,1226.0,1734.29,5.86
2017,167,5263,0.0,1691.79,2043.84,3.9
2002,168,3269,30.08,238.73,630.94,0.0
2003,168,3260,0.0,133.22,524.73,0.0
2004,168,3241,0.0,520.41,604.57,0.0
2005,168,3231,0.0,153.76,588.53,0.0
2006,168,3221,0.0,195.54,753.02,0.0
2007,168,3424,0.0,227.48,730.45,0.0
2008,168,3550,0.0,243.53,977.18,0.0
2009,168,3573,0.0,276.57,1056.2,0.0
2010,168,3462,0.0,352.28,940.47,5.86
2011,168,3475,0.0,382.48,904.25,9.02
2012,168,3489,0.0,390.43,961.0,10.31
2013,168,3569,28.89,559.51,1099.7,4.02
2014,168,3582,0.0,541.04,1097.38,10.2
2015,168,3600,0.0,407.94,1100.63,3.39
2016,168,3614,27.67,457.2,1226.77,1.03
2017,168,3629,0.0,549.87,1395.02,1.25
2002,169,7393,41.63,136.91,491.14,0.67
2003,169,7422,41.99,156.86,473.83,0.3
2004,169,7481,0.0,150.51,631.03,1.22
2005,169,7514,14.25,298.81,592.49,1.45
2006,169,7547,71.87,326.78,536.92,2.1
2007,169,6711,43.51,385.22,667.43,2.76
2008,169,6704,43.91,475.37,794.61,5.79
2009,169,6633,88.62,485.9,712.67,4.14
2010,169,6705,14.91,626.17,789.47,2.77
2011,169,6660,74.73,631.0,781.04,5.09
2012,169,6614,29.88,658.59,811.71,2.48
2013,169,6686,0.0,661.16,962.93,4.26
2014,169,6638,0.0,812.3,1031.82,5.18
2015,169,6613,45.37,703.17,1109.46,4.33
2016,169,6577,15.2,783.8,1215.52,2.33
2017,169,6546,45.83,1015.45,1353.21,3.83
2002,170,5247,0.0,236.3,730.31,0.76
2003,170,5205,0.0,193.43,504.34,0.62
2004,170,5117,57.18,546.6,482.46,6.75
2005,170,5068,19.15,243.7,555.09,2.13
2006,170,5020,0.0,281.38,814.88,2.95
2007,170,5311,0.0,317.24,1070.39,3.84
2008,170,5465,19.41,378.03,766.26,2.73
2009,170,5473,0.0,367.25,762.34,3.21
2010,170,5102,0.0,418.61,1078.3,3.84
2011,170,5084,0.0,475.89,873.38,6.37
2012,170,5067,0.0,704.06,1021.22,3.73
2013,170,5143,0.0,522.45,1032.39,1.93
2014,170,5125,19.6,694.78,1074.67,2.6
2015,170,5119,39.07,598.41,1163.29,2.81
2016,170,5110,0.0,631.46,1242.86,5.06
2017,170,5100,0.0,620.08,1358.7,4.04
2002,171,22684,0.0,107.78,747.13,1.17
2003,171,22942,4.54,126.45,766.76,1.48
2004,171,23482,0.0,24.81,713.28,0.58
2005,171,23782,18.23,174.53,745.28,1.29
2006,171,24079,9.14,218.71,769.36,1.74
2007,171,21009,9.15,209.01,760.8,9.57
2008,171,21514,0.0,226.19,778.02,2.43
2009,171,21431,9.19,216.94,823.4,1.31
2010,171,21719,0.0,244.64,861.59,1.77
2011,171,21672,0.0,274.16,947.45,1.19
2012,171,21641,4.56,300.26,1042.22,1.46
2013,171,22015,0.0,295.48,1130.59,1.23
2014,171,21982,0.0,337.6,1212.0,0.0
2015,171,21997,4.55,346.23,1358.64,0.0
2016,171,21989,0.0,369.88,1477.74,0.0
2017,171,21986,0.0,387.87,1579.25,0.0
2002,172,1265,0.0,391.4,789.07,2.62
2003,172,1254,0.0,391.01,856.11,4.45
2004,172,1231,79.5,606.52,900.85,0.61
2005,172,1218,0.0,494.62,999.63,6.65
2006,172,1205,0.0,604.63,1069.12,11.23
2007,172,1198,0.0,667.41,1033.5,8.77
2008,172,1228,0.0,879.02,1027.8,10.93
2009,172,1221,0.0,886.67,1107.57,10.45
2010,172,1212,0.0,875.19,1064.55,9.22
2011,172,1204,0.0,888.45,990.41,13.74
2012,172,1199,0.0,837.8,1174.53,18.25
2013,172,1214,0.0,1031.54,1285.86,8.59
2014,172,1207,0.0,1317.54,1401.96,10.4
2015,172,1205,82.98,1084.51,1463.15,12.76
2016,172,1200,0.0,1175.29,1571.99,16.27
2017,172,1197,0.0,1351.05,1775.1,19.67
2002,173,6570,15.16,80.42,563.84,0.54
2003,173,6580,15.11,84.39,613.76,0.06
2004,173,6602,0.0,222.52,683.35,0.89
2005,173,6614,0.0,121.58,674.69,0.29
2006,173,6626,14.95,148.81,793.25,1.36
2007,173,6597,14.9,171.23,867.92,0.37
2008,173,6801,59.43,225.85,758.78,0.36
2009,173,6821,44.43,411.11,772.52,1.13
2010,173,6774,29.53,203.78,905.71,1.51
2011,173,6789,58.64,256.46,929.07,0.96
2012,173,6806,43.53,286.39,931.7,0.0
2013,173,6953,29.53,250.12,1118.08,0.0
2014,173,6971,14.77,244.57,1109.12,0.0
2015,173,6997,85.75,274.28,1180.08,0.0
2016,173,7019,56.99,354.08,1278.24,0.0
2017,173,7041,71.01,338.98,1354.36,0.0
2002,174,9490,0.0,98.39,636.66,4.23
2003,174,9143,0.0,123.94,685.96,2.95
2004,174,8416,19.5,70.03,581.6,0.0
2005,174,8014,19.49,185.63,734.33,0.0
2006,174,7614,0.0,208.32,834.13,4.04
2007,174,10198,9.74,205.85,777.55,4.06
2008,174,10536,9.74,274.93,836.34,5.47
2009,174,10557,19.48,303.01,877.66,7.47
2010,174,10270,9.74,342.02,902.49,10.4
2011,174,10268,0.0,398.95,1011.75,13.25
2012,174,10271,19.23,377.72,1170.82,14.33
2013,174,10468,9.74,371.81,1261.31,10.26
2014,174,10470,19.48,437.37,1341.77,0.0
2015,174,10492,9.53,430.19,1432.44,0.0
2016,174,10503,28.56,460.33,1586.42,0.0
2017,174,10516,9.51,494.97,1686.27,0.0
2002,175,2183,0.0,361.11,589.46,0.0
2003,175,2097,0.0,257.45,629.7,0.0
2004,175,1915,39.48,224.54,634.39,0.0
2005,175,1814,0.0,386.8,655.31,0.0
2006,175,1714,0.0,403.27,738.55,0.0
2007,175,2647,0.0,427.2,758.98,0.0
2008,175,2728,0.0,566.36,760.54,0.0
2009,175,2762,0.0,510.07,812.76,0.0
2010,175,2792,35.82,541.28,788.0,0.0
2011,175,2824,35.24,728.35,951.93,0.0
2012,175,2856,0.0,999.02,1038.57,0.0
2013,175,2945,0.0,828.44,1142.84,0.0
2014,175,2979,0.0,809.98,1148.61,0.0
2015,175,3010,33.22,812.32,1202.94,0.0
2016,175,3040,32.89,826.21,1486.37,0.0
2017,175,3070,0.0,847.25,1633.02,0.0
2002,176,5691,17.66,157.03,714.69,0.0
2003,176,5704,0.0,88.08,704.2,0.0
2004,176,5732,17.67,348.18,675.08,0.0
2005,176,5747,0.0,125.44,582.33,0.0
2006,176,5762,0.0,125.45,669.91,0.0
2007,176,5465,53.05,151.75,701.58,0.0
2008,176,5609,35.39,187.97,732.84,0.0
2009,176,5598,0.0,177.14,754.8,0.0
2010,176,5647,35.43,197.8,797.21,0.0
2011,176,5644,17.64,211.29,839.87,0.0
2012,176,5643,0.0,238.6,1026.9,0.0
2013,176,5748,17.71,227.06,1100.92,0.0
2014,176,5746,0.0,383.06,1138.3,0.0
2015,176,5756,0.0,284.98,1270.94,0.0
2016,176,5760,17.36,318.53,1359.72,0.0
2017,176,5765,0.0,411.48,1379.13,0.0
2002,177,15106,0.0,135.17,487.16,0.0
2003,177,15051,0.0,117.45,538.89,0.0
2004,177,14935,6.57,78.53,474.75,1.22
2005,177,14871,6.57,134.9,570.92,0.62
2006,177,14807,0.0,164.78,586.17,0.73
2007,177,15371,13.15,220.63,636.06,0.5
2008,177,15963,6.58,283.31,790.79,0.6
2009,177,16025,6.58,304.14,692.26,0.0
2010,177,15165,6.58,374.08,745.66,1.48
2011,177,15186,13.11,366.52,767.33,0.84
2012,177,15184,6.5,577.33,764.54,0.0
2013,177,15469,13.17,501.27,1037.48,0.0
2014,177,15466,0.0,600.44,1197.92,0.0
2015,177,15492,0.0,652.53,1309.98,0.0
2016,177,15504,6.45,606.83,1373.35,0.0
2017,177,15519,0.0,546.1,1324.49,0.0
2002,178,7877,0.0,138.26,574.35,1.4
2003,178,8159,12.2,137.1,745.6,1.34
2004,178,8750,11.73,94.87,654.56,0.0
2005,178,9077,45.09,176.15,753.35,3.8
2006,178,9402,10.83,213.17,766.65,5.36
2007,178,10266,10.41,270.37,825.78,8.49
2008,178,10995,10.01,315.43,762.48,8.64
2009,178,11368,0.0,361.9,895.55,9.53
2010,178,10792,0.0,384.83,1066.84,9.72
2011,178,11076,0.0,523.75,951.87,9.36
2012,178,11339,0.0,596.92,1071.17,10.96
2013,178,11841,0.0,516.84,1249.02,13.72
2014,178,12131,9.25,616.42,1407.55,12.49
