ano,municipio,homicidio,gastos_educacao,renda_setor_formal,gastos_seguranca_publica
2014,180,0.0,321.44,1189.12,3.04
2014,181,0.0,712.47,1270.08,5.3
2014,182,0.0,390.52,1067.71,3.63
2014,183,31.04,531.42,1324.07,2.8
2014,184,28.35,408.35,1212.94,0.04
2014,185,22.16,403.54,1064.11,1.59
2014,188,10.18,498.72,1161.68,21.17
2014,189,0.0,495.76,1201.16,5.6
2014,190,21.7,603.11,2300.44,4.89
2014,191,0.0,603.72,1225.61,8.92
2014,192,0.0,522.56,1331.17,5.94
2014,193,44.67,694.78,3339.33,16.82
2014,194,0.0,647.82,2138.07,4.63
2014,196,0.0,449.44,1174.61,3.59
2014,197,28.17,602.2,1050.22,3.17
2014,198,67.39,889.04,2861.06,8.18
2014,199,0.0,366.36,1319.94,2.51
2014,200,14.43,918.86,2225.06,52.89
2014,201,0.0,425.39,1145.7,5.76
2014,203,11.16,327.56,1465.72,10.55
2014,204,17.98,413.92,1421.59,4.58
2014,205,0.0,856.51,1606.07,12.09
2014,206,40.43,478.45,1991.32,0.28
2014,207,10.77,432.08,1053.93,1.59
2014,208,23.05,290.91,1234.46,0.15
2014,209,11.54,272.96,1155.74,4.87
2014,210,0.0,927.31,1036.24,3.09
2014,211,12.54,474.13,1160.97,1.95
2014,212,0.0,512.99,1235.47,12.66
2014,213,10.89,399.09,1385.07,2.98
2014,214,37.61,386.08,1373.42,15.45
2014,215,0.0,466.72,1061.34,4.22
2014,216,0.0,1268.42,1240.98,0.28
2014,217,0.0,497.85,1380.2,6.53
2014,220,0.0,570.56,1381.82,5.77
2014,221,0.0,609.84,998.26,5.66
2014,222,23.79,607.21,1161.04,3.22
2014,223,33.07,583.55,1154.93,4.78
2014,224,0.0,497.79,968.35,6.13
2014,225,17.36,760.51,1247.46,6.45
2014,226,0.0,679.11,1205.24,8.96
2014,227,0.0,511.31,1152.85,5.01
2014,228,0.0,396.16,1190.2,4.15
2014,229,0.0,1067.72,1374.17,6.96
2014,230,6.85,422.31,1233.58,2.29
2014,231,42.74,747.16,1051.96,2.27
2014,234,19.19,528.94,1227.65,5.66
2014,235,0.0,510.0,1217.4,5.72
2014,236,14.64,765.21,1322.43,5.99
2014,237,12.36,790.06,2865.12,20.19
2014,238,0.0,448.0,968.61,1.65
2014,240,0.0,957.77,1216.6,3.61
2014,241,8.72,298.74,2331.61,0.59
2014,243,11.44,281.73,975.75,2.7
2014,244,30.37,992.54,1092.1,2.76
2014,245,31.36,352.18,1217.41,4.07
2014,246,60.77,301.23,1029.84,3.01
2014,247,0.0,599.29,1003.67,1.29
2014,248,10.8,338.01,1629.7,0.56
2014,250,17.35,610.81,1075.24,6.14
2014,251,11.14,601.62,1091.82,0.56
2014,252,0.0,572.62,1418.19,4.69
2014,253,0.0,514.75,1087.77,1.94
2014,254,0.0,474.2,1444.45,9.56
2014,255,0.0,461.42,1353.19,2.55
2014,256,0.0,592.41,1164.37,8.03
2014,258,0.0,474.05,1324.14,4.55
2014,259,0.0,654.86,1305.67,6.37
2014,260,0.0,492.2,1104.8,1.26
2014,262,0.0,1580.08,2042.88,25.61
2014,263,0.0,1006.36,1253.73,16.06
2014,264,0.0,392.23,1530.09,2.46
2014,265,3.97,478.55,1320.64,3.64
2014,266,38.91,627.89,1014.56,13.14
2014,267,0.0,487.66,1101.76,1.78
2014,268,38.65,517.88,1210.83,2.76
2014,270,22.29,429.93,1064.71,4.44
2014,271,61.39,601.66,1415.93,0.97
2014,272,13.13,398.98,1170.75,3.13
2014,273,16.07,376.95,1023.61,0.53
2014,274,45.16,691.42,1219.83,6.12
2014,276,0.0,624.42,1117.16,4.22
2014,277,0.0,467.88,1224.43,3.56
2014,279,0.0,502.66,1061.14,2.78
2014,280,26.65,638.19,1040.38,5.76
2014,281,10.49,771.53,1978.63,22.2
2014,283,0.0,692.28,1246.68,0.53
2014,284,19.45,601.38,1340.83,2.96
2014,285,0.0,391.04,1179.84,1.28
2014,286,14.16,573.72,1491.74,4.0
2014,287,0.0,820.24,1065.07,7.18
2014,288,46.14,436.52,1177.96,6.59
2014,289,19.33,453.26,1163.89,5.47
2014,290,30.3,576.47,1260.14,5.56
2014,292,12.23,508.12,1313.05,12.53
2014,294,0.0,1104.1,1201.06,6.2
2014,296,20.56,648.61,943.54,4.69
2014,297,8.03,394.67,1112.04,16.5
2014,298,34.48,528.23,1456.36,7.41
2014,300,11.21,395.48,1011.36,3.03
2014,301,30.04,534.86,994.84,5.96
2014,302,21.37,570.67,2066.77,7.26
2014,303,21.34,414.08,1059.46,0.83
2014,304,0.0,517.09,1017.32,2.08
2014,305,29.92,478.41,1687.18,9.74
2014,307,43.16,398.63,1121.81,3.31
2014,309,0.0,837.47,1004.82,1.95
2014,310,0.0,735.42,1176.64,4.44
2014,311,0.0,570.88,1232.24,6.99
2014,312,0.0,507.55,1346.87,7.27
2014,314,0.0,387.52,1171.4,4.39
2014,315,42.1,402.8,1527.84,0.37
2014,316,13.31,668.5,1179.32,0.03
2014,317,0.0,1009.94,1018.14,3.2
2014,318,6.4,410.02,1349.36,2.4
2014,321,0.0,566.24,860.68,2.44
2014,322,0.0,371.39,1592.65,5.01
2014,323,0.0,433.12,1119.88,3.33
2014,325,0.0,790.6,1439.78,6.23
2014,326,12.14,392.59,1609.68,3.64
2014,327,13.88,336.72,1242.89,0.3
2014,329,22.97,277.98,1083.69,2.34
2014,332,19.39,452.88,1179.97,2.63
2014,334,25.84,564.03,1520.15,7.39
2014,335,0.0,398.36,523.57,2.32
2014,337,16.43,470.91,1538.81,7.43
2014,338,27.68,376.01,1730.81,1.08
2014,340,0.0,808.2,1208.98,8.45
2014,341,0.0,369.67,1052.62,0.81
2014,342,66.0,476.54,1461.24,0.82
2014,343,21.59,492.99,1257.8,6.5
2014,344,0.0,531.49,1556.61,3.5
2014,345,0.0,872.79,1588.89,4.86
2014,347,31.13,360.47,951.3,7.12
2014,348,0.0,535.32,1121.65,4.89
2014,349,27.29,787.84,1049.42,2.33
2014,352,20.58,302.46,1204.32,1.58
2014,353,17.36,585.84,1347.34,0.15
2014,354,14.87,1471.62,1159.76,33.37
2014,355,41.9,292.04,1206.68,6.38
2014,356,27.52,312.97,1126.34,1.65
2014,357,13.78,474.18,1854.84,5.0
2014,358,0.0,659.48,1211.86,1.59
2014,359,10.5,410.4,1404.87,8.05
2014,361,26.42,661.18,2190.11,0.59
2014,362,9.35,421.78,1179.29,1.64
2014,366,8.08,462.52,1267.33,3.13
2014,367,67.81,647.06,1289.12,1.86
2014,368,11.03,374.88,2200.42,3.95
2014,369,12.43,460.02,1077.07,2.36
2014,371,13.15,448.58,1184.52,2.43
2014,373,0.0,507.19,1156.02,3.04
2014,374,0.0,516.87,1553.72,7.95
2014,375,7.05,433.24,1250.99,4.09
2014,376,16.87,457.85,1051.77,0.73
2014,377,47.62,450.23,1206.45,5.86
2014,378,7.32,388.72,1792.18,0.51
2014,379,9.36,235.17,1347.66,8.73
2014,380,11.54,824.31,1513.62,6.81
2014,381,30.22,906.6,2782.38,119.43
2014,382,0.0,742.26,1778.34,3.19
2014,383,19.89,338.83,1713.04,1.24
2014,384,0.0,486.6,1183.58,4.35
2014,385,20.82,492.79,1385.36,1.63
2014,386,34.31,696.1,1237.12,3.95
2014,387,18.52,397.02,1613.92,3.24
2014,388,0.0,379.89,1203.51,5.3
2014,390,0.0,804.18,1272.15,3.93
2014,391,40.85,433.88,1326.74,6.48
2014,392,0.0,439.86,1240.34,6.53
2014,393,0.0,479.86,1222.84,7.28
2014,394,0.0,562.11,1213.09,8.93
2014,395,33.44,589.98,1096.0,5.54
2014,396,29.77,339.86,1215.24,0.61
2014,397,19.74,383.67,1251.71,9.75
2014,398,28.44,434.25,1205.91,3.6
2014,399,12.22,310.9,1318.55,1.72
2014,400,0.0,652.78,1165.87,5.03
2014,401,0.0,483.52,929.93,1.44
2014,402,0.0,1439.26,4393.12,8.51
2014,403,0.0,570.94,1300.52,4.62
2014,405,12.49,550.21,1296.55,4.26
2014,407,12.43,342.5,1136.81,2.69
2014,409,40.16,440.56,1195.64,2.88
2014,410,0.0,561.59,1327.63,4.85
2014,411,19.02,514.92,1706.37,4.06
2014,413,46.46,756.95,1112.15,3.52
2014,414,29.06,352.82,1008.2,2.68
2014,415,0.0,649.98,1290.99,3.5
2014,416,22.85,644.45,1025.61,4.21
2014,418,67.56,1065.98,1813.42,4.86
2014,419,23.05,413.57,1845.48,0.07
2014,421,21.65,514.71,1148.43,3.29
2014,422,0.0,663.82,1087.85,3.92
2014,423,11.77,482.04,1342.5,1.17
2014,424,0.0,420.58,1389.58,2.88
2014,425,10.87,293.37,1560.05,18.3
2014,427,0.0,734.29,1144.4,2.85
2014,428,5.83,444.5,1333.07,1.73
2014,429,11.59,564.5,1177.87,6.66
2014,430,15.23,684.18,1901.33,4.52
2014,431,30.6,419.19,1302.34,9.77
2014,433,0.0,793.12,1335.77,3.62
2014,434,0.0,546.82,1199.46,2.08
2014,435,0.0,616.84,1026.38,2.0
2014,436,13.02,420.1,1964.09,2.94
2014,437,31.2,320.18,1511.11,6.56
2014,438,0.0,1068.42,1118.49,2.74
2014,439,11.73,380.79,1267.06,1.83
2014,441,6.19,282.23,1062.41,5.74
2014,442,0.0,1084.02,1979.71,0.68
2014,443,0.0,565.11,1097.57,2.29
2014,444,0.0,482.36,1030.85,5.02
2014,445,0.0,491.9,1120.25,1.8
2014,446,0.0,435.36,1007.11,1.82
2014,447,0.0,434.55,1339.86,5.25
2014,448,7.75,395.96,1363.56,4.7
2014,450,15.98,366.55,1272.67,4.28
2014,452,40.38,602.47,1051.17,0.66
2014,453,11.31,293.1,1327.15,2.38
2014,454,4.68,424.35,1232.64,1.55
2014,455,25.82,504.34,1263.52,5.17
2014,457,0.0,636.76,1192.48,2.53
2014,458,7.03,603.09,1335.99,3.04
2014,459,31.35,689.03,2079.77,4.1
2014,460,0.0,687.3,1190.22,4.38
2014,461,22.74,392.14,1353.95,24.33
2014,462,0.0,855.06,999.37,8.13
2014,464,0.0,686.31,1323.09,9.67
2014,466,13.94,620.49,1300.6,5.61
2014,467,38.1,551.29,1061.18,3.55
2014,468,0.0,678.55,1288.81,0.63
2014,469,28.72,428.89,1531.27,2.5
2014,470,29.67,550.45,2091.49,2.41
2014,471,7.44,590.65,1691.67,1.64
2014,472,10.02,559.71,1019.8,43.01
2014,473,5.67,357.93,1318.82,7.92
2014,475,38.29,450.38,1730.08,1.64
2014,476,0.0,701.84,1365.16,5.27
2014,477,0.0,395.57,1191.97,2.44
2014,479,33.29,359.1,1287.09,10.51
2014,480,15.8,400.81,1126.16,1.36
2014,481,0.0,347.81,1043.9,1.49
2014,482,0.0,577.55,1102.73,4.16
2014,483,9.74,445.49,1111.33,0.95
2014,485,15.34,394.07,1207.13,1.31
2014,486,39.02,588.94,1121.02,3.84
2014,487,0.0,387.89,1272.17,1.91
2014,488,21.98,958.7,1112.95,1.84
2014,489,21.33,679.99,1322.0,5.81
2014,490,14.23,522.13,1142.79,3.88
2014,491,0.0,876.17,1142.62,8.94
2014,492,0.0,487.87,1345.4,3.34
2014,493,6.3,320.5,1030.45,2.07
2014,494,25.49,478.15,1324.65,2.4
2014,495,4.55,282.64,1218.76,0.28
2014,496,7.66,538.53,1439.54,3.72
2014,497,26.22,367.62,1314.37,3.29
2014,498,0.0,548.39,2211.24,4.86
2014,500,4.72,544.82,1240.72,2.48
2014,502,0.0,404.07,917.73,1.02
2014,503,12.11,715.16,1315.67,11.72
2014,504,0.0,1122.86,1101.36,8.44
2014,505,0.0,593.26,1503.69,0.41
2014,506,15.98,435.23,1194.63,4.77
2014,507,25.8,359.69,1360.54,0.09
2014,508,37.51,289.14,1193.42,2.21
2014,510,0.0,534.96,1307.81,4.54
2014,511,26.94,228.21,1241.28,0.98
2014,512,63.08,587.17,1049.5,4.0
2014,513,0.0,876.57,1338.85,3.9
2014,514,0.0,504.63,1167.64,10.2
2014,515,0.0,428.93,1554.16,1.24
2014,517,0.0,524.6,1167.54,6.85
2014,518,0.0,562.12,1017.7,1.51
2014,519,11.41,467.13,1550.37,12.66
2014,520,12.35,1640.81,3048.95,234.37
2014,521,0.0,770.19,1108.9,1.59
2014,522,0.0,894.98,1474.68,20.91
2014,524,6.5,440.4,1296.19,8.43
2014,525,51.56,565.51,1333.02,3.53
2014,526,0.0,483.64,1170.17,5.98
2014,527,9.76,508.1,965.92,2.12
2014,528,9.67,440.97,1309.72,2.7
2014,530,0.0,1451.92,1163.05,9.26
2014,531,0.0,864.36,1155.77,2.67
2014,532,0.0,946.97,1276.02,7.61
2014,533,12.67,379.05,1250.98,3.37
2014,536,22.26,867.94,1287.66,5.26
2014,537,41.19,728.09,1113.32,3.43
2014,538,8.51,596.38,2556.88,4.56
2014,539,9.5,339.08,1357.42,0.47
2014,540,18.5,870.7,2698.72,1.58
2014,541,16.62,616.65,1095.36,2.59
2014,543,15.92,413.55,1074.57,0.19
2014,545,43.19,674.66,1328.13,6.12
2014,546,0.0,616.22,1433.81,3.57
2014,548,0.0,449.97,1031.6,0.54
2014,550,28.22,448.25,1187.75,17.53
2014,551,19.0,377.05,1410.51,1.63
2014,552,46.04,474.96,1814.93,0.09
2014,555,22.16,484.96,1199.88,3.84
2014,556,12.84,277.38,1366.6,0.96
2014,557,0.0,462.73,1305.93,2.8
2014,559,0.0,659.52,1432.84,10.96
2014,560,17.88,323.41,1518.65,3.52
2014,561,0.0,683.62,1024.42,2.03
2014,562,17.3,384.9,1624.04,5.65
2014,563,13.34,428.96,1516.1,1.01
2014,564,0.0,380.91,1386.32,4.5
2014,565,0.0,378.58,992.34,2.44
2014,566,0.0,589.27,1119.15,3.33
2014,567,34.93,386.32,1208.97,3.13
2014,569,16.78,398.56,1247.55,3.41
2014,570,0.0,771.25,1130.69,1.46
2014,572,25.81,671.32,1213.66,5.73
2014,573,0.0,1163.43,1197.27,5.65
2014,574,8.72,441.18,1196.5,4.85
2014,575,19.39,374.16,1011.72,0.44
2014,576,0.0,941.63,1446.94,7.9
2014,577,28.94,533.14,1858.98,3.36
2014,578,0.0,751.86,1173.04,12.39
2014,580,24.53,590.13,1066.56,4.02
2014,582,20.83,548.41,1598.09,8.47
2014,583,9.96,425.49,1352.27,0.81
2014,584,56.85,981.38,1003.87,4.41
2014,585,24.22,462.4,1224.59,1.71
2014,587,14.06,505.24,1174.08,1.54
2014,588,24.62,719.04,1320.55,4.22
2014,589,42.47,515.45,1094.25,5.15
