"","ano","municipio","populacao","homicidio","gastos_educacao","renda_setor_formal","gastos_seguranca_publica"
"92",2017,"Dores de Campos",9992,20.02,446.62,1613.98,4.7
"93",2017,"Entre Folhas",5389,18.56,591.53,1422.59,2.55
"94",2017,"Pingo D' Água",4824,20.73,595,1124.49,2.64
"95",2017,"São Pedro dos Ferros",8099,12.35,365.96,1493.12,12.28
"96",2017,"Santa Bárbara do Leste",8098,24.7,747.16,1437.84,0.81
"97",2017,"Cana Verde",5678,17.61,604.25,1457.63,2.63
"98",2017,"São João do Manhuaçu",11254,26.66,621.25,1477.14,3.15
"99",2017,"Patrocínio do Muriaé",5623,17.78,378.32,1540.96,4.57
"100",2017,"Guaxupé",51772,7.73,464.31,2035.71,9.6
"101",2017,"Capelinha",37489,10.67,437.63,1509.13,1.77
"102",2017,"Almenara",41377,16.92,528.4,1584.08,1.15
"103",2017,"Luislândia",6689,14.95,579.46,1483.41,0.37
"104",2017,"Pedra Azul",24501,16.33,557.78,1592.68,3.33
"105",2017,"Corinto",24141,4.14,612.14,1519.69,3.21
"106",2017,"Miravânia",4836,41.35,746.83,1400.36,3.05
"107",2017,"Buritizeiro",28052,21.39,537.17,1588.07,2.97
"108",2017,"Barão do Monte Alto",5592,35.77,847.63,1306.91,7.62
"109",2017,"Conselheiro Lafaiete",126097,10.31,480.52,1753.61,7.96
"110",2017,"Capitão Andrade",5351,18.69,621.58,1430.84,4.12
"111",2017,"Barbacena",135324,1.48,334.44,2065.04,42.32
"112",2017,"Sete Lagoas",233867,17.53,421.98,2123.01,13.65
"113",2017,"Juatuba",25616,58.56,1196.49,2351.06,8.15
"114",2017,"Além Paraíba",35508,5.63,401.93,1676.66,5.32
"115",2017,"São Tomás de Aquino",7150,13.99,757.68,1664.16,4.99
"116",2017,"Carmópolis de Minas",18805,10.64,516.72,1617.76,3.17
"117",2017,"Palmópolis",6100,49.18,460.62,1466.92,3.39
"118",2017,"Brasilândia de Minas",15944,87.81,573.64,1839.95,6.43
"119",2017,"Guaranésia",19185,5.21,459.81,1906.76,6.75
"120",2017,"Naque",6861,14.58,633.63,1345.29,2.26
"121",2017,"Campos Gerais",28767,6.95,407.29,1478.38,3.61
"122",2017,"Novo Cruzeiro",31566,15.84,576.36,1459.28,1.37
"123",2017,"Patos de Minas",149386,11.38,385.37,2100.41,7.23
"124",2017,"Bela Vista de Minas",10312,9.7,588.15,2042.58,8.76
"125",2017,"Taquaraçu de Minas",4034,74.36,955.3,1581.75,10.35
"126",2017,"São José do Divino",3907,25.6,665.86,1451.54,6.26
"127",2017,"Capitão Enéas",15085,19.89,484.45,1505.84,21.93
"128",2017,"Cordisburgo",8939,11.19,346.21,1494.05,9.35
"129",2017,"Santana do Riacho",4258,23.48,838.09,1429.21,27.5
"130",2017,"Nacip Raydan",3241,30.85,470.24,1575.95,7.17
"131",2017,"Santa Maria do Suaçuí",14747,54.25,487.8,1363.53,4.32
"132",2017,"Coluna",9055,33.13,409.4,1308.78,4.52
"133",2017,"Jaboticatubas",19350,25.84,533.87,1646.06,7.23
"134",2017,"Turmalina",19565,10.22,587.22,1659.1,11.39
"135",2017,"Camanducaia",21837,4.58,776.62,1795.59,11.47
"136",2017,"Tombos",8684,11.51,661.71,1392.12,6.19
"137",2017,"Jaíba",37560,42.6,410.87,1400.45,2.53
"138",2017,"Astolfo Dutra",13977,7.15,382.24,1305.69,4.64
"139",2017,"Campestre",21226,9.42,629.3,1585.26,3.68
"140",2017,"Tiros",6727,44.6,635.36,1915.81,6.83
"141",2017,"Carmo do Paranaíba",30553,9.82,538.52,1880.05,1.43
"142",2017,"Alvarenga",4157,48.11,527.26,1274.73,7.25
"143",2017,"Cássia",17877,11.19,516.15,1725.93,5.15
"144",2017,"Ferros",10328,29.05,445.39,1509.74,7.61
"145",2017,"Poté",16475,24.28,515.2,1624.2,4.32
"146",2017,"Ibituruna",2988,33.47,884.84,1505.64,11.77
"147",2017,"Uruana de Minas",3305,60.52,1202.06,1547.02,22.23
"148",2017,"Malacacheta",18966,15.82,412.32,1478.76,5.64
"149",2017,"São João Batista do Glória",7357,13.59,735.45,1512.07,12.28
"150",2017,"Abadia dos Dourados",6989,42.93,769.58,1589.51,3.81
"151",2017,"Itabira",118093,18.63,600.84,2164.78,7.11
"152",2017,"Claraval",4799,20.84,939.86,1703.85,9.15
"153",2017,"Sericita",7360,81.52,654.26,1199.79,3.21
"154",2017,"Santa Rita do Itueto",5642,35.45,547.75,1423.28,2.34
"155",2017,"São João do Manteninha",5702,105.24,520.77,1371.71,1.71
"156",2017,"Jacinto",12436,24.12,461.79,1462.27,4.49
"157",2017,"Piracema",6500,15.38,627.03,1497.8,10.24
"158",2017,"Itaipé",12598,63.5,732.51,1510.66,5.26
"159",2017,"Paula Cândido",9601,31.25,487.29,1247.45,4.91
"160",2017,"Coqueiral",9338,10.71,372.08,1263.35,0.64
"161",2017,"Papagaios",15361,45.57,515.9,1433.41,21.35
"162",2017,"São Gotardo",34666,23.08,501.9,1984.38,11.8
"163",2017,"Periquito",6990,100.15,933.24,1273.8,6.14
"164",2017,"Itapagipe",14891,26.86,532.66,2190.27,8.15
"165",2017,"Toledo",6170,32.42,699.79,1319.35,5.61
"166",2017,"Lagoa da Prata",50693,17.75,326.23,2000.11,29.7
"167",2017,"Veríssimo",3872,25.83,889.23,1669.73,2.57
"168",2017,"Inimutaba",7414,13.49,685.34,1286.54,4.24
"169",2017,"Paineiras",4604,43.44,604.91,1474.52,8.81
"170",2017,"Pocrane",8753,45.7,259.76,1633.05,1.31
"171",2017,"Estrela do Indaiá",3554,56.27,431.46,1559.84,4.61
"172",2017,"Várzea da Palma",38737,30.98,447.2,1691.85,2.18
"173",2017,"Fortuna de Minas",2903,34.45,1232.21,1525.16,16.74
"174",2017,"Morro da Garça",2569,38.92,1413.01,1318.64,9.12
"175",2017,"Virgem da Lapa",13903,28.77,412.63,1801.9,1.16
"176",2017,"Campina Verde",19879,10.06,570.6,1685.97,1.89
"177",2017,"São Romão",11773,8.49,435.54,1642.52,2.38
"178",2017,"Piedade de Caratinga",8165,36.74,648.38,1478.61,7.03
"179",2017,"Aimorés",25454,47.14,731.92,1662.38,9
"180",2017,"Pitangui",27429,25.52,374.57,1615.78,4.22
"181",2017,"Santa Margarida",16012,37.47,442.17,1517.4,4.94
"182",2017,"Rio Vermelho",13319,30.03,485.23,1359.3,3.93
"183",2017,"São Domingos das Dores",5640,17.73,834.91,1397.18,5.56
"184",2017,"Água Boa",14227,21.09,484.89,1379.77,1.98
"185",2017,"Prudente de Morais",10471,47.75,663.38,1631.19,1.25
"186",2017,"Resplendor",17538,5.7,622.31,1518.38,1.8
"187",2017,"Itabirinha",11383,26.35,452.47,1452.48,3.28
"188",2017,"Piraúba",10969,18.23,644.97,1435.9,3.7
"189",2017,"Ibiá",24849,32.19,641.42,1762.06,11.01
"190",2017,"Santa Juliana",13246,15.1,799.28,2308.48,28.29
"191",2017,"Ataléia",13625,14.68,494.43,1641.36,2.46
"192",2017,"Ipanema",19539,20.47,435.33,1466.51,5.07
"193",2017,"Natalândia",3348,29.87,838.83,1627.28,6.74
"194",2017,"Joaíma",15478,45.23,564.53,1436.09,4.55
"195",2017,"Pompéu",31296,47.93,541.32,1804.18,9.95
"196",2017,"Itaúna",91770,20.7,418.67,2105.09,0.86
"197",2017,"Tocantins",16599,18.07,451.76,1541.76,3.94
"198",2017,"Miradouro",10729,37.28,627.14,1322.04,7.43
"199",2017,"São Sebastião do Paraíso",69829,10.02,441.19,1706.98,83.46
"200",2017,"Campo Belo",53914,14.84,428.27,1511.24,4.4
"201",2017,"Coronel Murta",9317,32.2,612.83,1343.83,4.71
"202",2017,"São Pedro do Suaçuí",5439,36.77,502.86,1510.56,6.69
"203",2017,"Arinos",18061,16.61,667.43,1598.94,1.11
"204",2017,"Divisa Nova",6007,33.29,647.06,1411.78,6.97
"205",2017,"Sarzedo",30727,9.76,797.55,2281.93,11.13
"206",2017,"Santa Rita de Minas",7078,14.13,418.9,1317.04,4.39
"207",2017,"Bom Jesus do Galho",15305,26.14,354.55,1416.17,5.51
"208",2017,"Recreio",10590,9.44,395.79,1212.28,2.58
"209",2017,"Paraopeba",24183,16.54,577.11,1584.65,4.74
"210",2017,"Delfinópolis",7114,14.06,774.5,1659.73,4.97
"211",2017,"Virginópolis",10685,18.72,466.07,1456.29,3.09
"212",2017,"Presidente Olegário",19403,20.61,697.09,1890.45,6.5
"213",2017,"João Monlevade",78795,17.77,621.92,2041.75,0.24
"214",2017,"Guarani",8957,11.16,505.89,1416.53,6.89
"215",2017,"Lavras",101104,6.92,468.48,2484.67,2.35
"216",2017,"Montezuma",8086,24.73,491.77,1089.12,6.68
"217",2017,"Salto da Divisa",7056,14.17,601.56,1895.56,11.89
"218",2017,"Araguari",116272,24.94,527.4,1947.2,10.47
"219",2017,"Mantena",27851,21.54,559.55,1586.4,1.32
"220",2017,"Orizânia",7870,38.12,803.09,1509.28,3.89
"221",2017,"Datas",5416,18.46,569.45,1380.06,4.77
"222",2017,"Tiradentes",7729,25.88,608.33,1390.67,6.76
"223",2017,"Ewbank da Câmara",3913,25.56,756.09,1398.59,5.3
"224",2017,"Augusto de Lima",4973,20.11,759.72,1456.56,6.64
"225",2017,"Ribeirão das Neves",325584,32.56,262.87,1867.21,0.18
"226",2017,"Ibirité",175701,22.77,420.1,2067.1,1.91
"227",2017,"Candeias",14996,6.67,571.6,1440.13,4.58
"228",2017,"Imbé de Minas",6830,58.56,462.81,1175.48,5.04
"229",2017,"Alto Rio Doce",11576,8.64,645.75,1506.42,3.39
"230",2017,"Dom Bosco",3780,52.91,646.67,1669.98,5.19
"231",2017,"Januária",67899,10.31,376.07,1592.76,1.73
"232",2017,"Catuji",6546,45.83,1015.45,1353.21,3.83
"233",2017,"Piranguinho",8511,11.75,518.65,1600.21,5.16
"234",2017,"Romaria",3608,27.72,918.27,1681.85,7.35
"235",2017,"Canaã",4652,42.99,525.17,1260.86,7.15
"236",2017,"Goianá",3913,25.56,583.09,1736.72,11.65
"237",2017,"Bom Jesus do Amparo",5958,33.57,691.61,1366.3,5.84
"238",2017,"Araponga",8459,47.29,363.05,1420.42,6.55
"239",2017,"Senhora do Porto",3566,84.13,786.09,1402.27,6.75
"240",2017,"Três Pontas",56527,5.31,516.38,1616.87,9.85
"241",2017,"São João Del Rei",89361,14.55,296.02,2459.59,17.69
"242",2017,"Bom Sucesso",17728,22.56,506.07,1582.51,2.97
"243",2017,"Itaguara",13196,7.58,536.61,1515.7,5.86
"244",2017,"Poços de Caldas",164426,4.87,900.97,2216.8,0.04
"245",2017,"Prados",8931,11.2,491.3,1310.12,8.03
"246",2017,"Porto Firme",11133,26.95,258.61,1427.03,2.06
